City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
291,Karasburg,NA,2020-04-19 01:22:18,-28.02,18.75,64.22,24,9,5.06
292,Breves,BR,2020-04-19 01:22:18,-1.68,-50.48,75.87,92,99,1.54
293,Araguacu,BR,2020-04-19 01:22:18,-12.93,-49.83,72.18,89,100,4.63
294,Maloy,NO,2020-04-19 01:22:05,61.94,5.11,39.2,72,0,6.93
295,Port Macquarie,AU,2020-04-19 01:15:14,-31.43,152.92,73.99,69,54,5.19
296,Anamur,TR,2020-04-19 01:22:20,36.08,32.84,65.05,63,29,9.75
297,Malartic,CA,2020-04-19 01:11:47,48.13,-78.13,41.0,44,75,10.29
298,Hambantota,LK,2020-04-19 01:22:20,6.12,81.12,77.0,100,20,4.7
299,Porechye-Rybnoye,RU,2020-04-19 01:22:21,57.1,39.38,30.2,100,90,2.24
300,Hami,CN,2020-04-19 01:20:21,42.8,93.45,61.34,22,83,9.44
301,Ambon,ID,2020-04-19 01:14:21,-3.7,128.18,87.8,66,40,4.7
302,Velika Kladusa,BA,2020-04-19 01:22:22,45.19,15.81,62.01,76,99,2.24
