City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
321,321,Iralaya,HN,2020-04-19 01:14:43,15.0,-83.23,82.4,78,20,4.7,few clouds,0,0
328,328,Harper,LR,2020-04-19 01:14:47,4.38,-7.72,80.28,84,100,8.84,light rain,0,0
329,329,Labuhan,ID,2020-04-19 01:14:52,-6.88,112.21,80.46,82,88,3.98,light rain,0,0
332,332,Sulangan,PH,2020-04-19 01:14:54,11.14,123.72,82.65,74,9,10.67,clear sky,0,0
337,337,Manzanillo,CU,2020-04-19 01:14:56,20.34,-77.12,79.52,74,8,5.1,light rain,0,0
341,341,Sibu,MY,2020-04-19 01:14:07,2.3,111.82,77.0,88,75,10.29,light rain,0,0
342,342,Salalah,OM,2020-04-19 01:14:59,17.02,54.09,80.6,74,40,4.7,scattered clouds,0,0
343,343,Eyl,SO,2020-04-19 01:15:00,7.98,49.82,81.46,79,73,10.25,broken clouds,0,0
345,345,Berbera,SO,2020-04-19 01:15:01,10.44,45.01,84.15,75,76,11.43,moderate rain,0,0
346,346,Mamallapuram,IN,2020-04-19 01:15:01,12.63,80.17,84.0,88,40,3.36,scattered clouds,0,0
359,359,Olinda,BR,2020-04-19 01:15:08,-8.01,-34.86,84.2,74,40,2.24,scattered clouds,0,0
361,361,Adrar,MR,2020-04-19 01:14:36,20.5,-10.07,75.67,34,88,8.88,light rain,0,0
363,363,Saint-Georges,GD,2020-04-19 01:15:10,12.06,-61.75,80.6,74,20,9.17,few clouds,0,0
364,364,Cardenas,CU,2020-04-19 01:15:10,23.04,-81.2,86.0,58,20,6.93,few clouds,0,0
365,365,Nishihara,JP,2020-04-19 01:15:11,26.18,127.76,77.0,88,75,12.75,broken clouds,0,0
367,367,Bela,IN,2020-04-19 01:15:11,25.93,81.98,82.83,24,16,2.3,few clouds,0,0
377,377,Turan,VN,2020-04-19 01:15:18,16.07,108.22,82.4,88,20,3.36,mist,0,0
380,380,Anloga,GH,2020-04-19 01:15:25,5.79,0.9,83.03,79,4,10.92,light rain,0,0
381,381,Bara,NG,2020-04-19 01:15:26,10.37,10.73,83.79,11,97,3.49,overcast clouds,0,0
382,382,Hobyo,SO,2020-04-19 01:15:27,5.35,48.53,83.71,72,90,8.95,light rain,0,0
384,384,Isangel,VU,2020-04-19 01:15:27,-19.55,169.27,82.4,78,75,11.41,broken clouds,0,0
385,385,Tsabong,BW,2020-04-19 01:15:28,-26.02,22.4,77.16,28,36,11.77,scattered clouds,0,0
387,387,Jutai,BR,2020-04-19 01:11:09,-5.18,-68.9,75.27,78,44,0.43,scattered clouds,0,0
393,393,Tabuk,PH,2020-04-19 01:15:31,17.42,121.44,80.19,72,95,7.02,overcast clouds,0,0
397,397,Angoram,PG,2020-04-19 01:15:35,-4.06,144.07,82.83,84,100,1.21,light rain,0,0
398,398,Porto Novo,BJ,2020-04-19 01:15:36,6.5,2.6,82.4,94,40,10.29,scattered clouds,0,0
404,404,Beaufort,MY,2020-04-19 01:15:39,5.35,115.75,82.4,83,75,3.36,broken clouds,0,0
408,408,Moussoro,TD,2020-04-19 01:15:41,13.64,16.49,82.72,13,4,12.59,clear sky,0,0
411,411,Sabang,ID,2020-04-19 01:15:42,5.89,95.32,82.94,72,76,4.03,broken clouds,0,0
413,413,Douentza,ML,2020-04-19 01:15:43,15.0,-2.95,84.24,21,91,2.21,overcast clouds,0,0
414,414,Quatre Cocos,MU,2020-04-19 01:15:44,-20.21,57.76,77.0,78,75,13.87,shower rain,0,0
418,418,Ixtapa,MX,2020-04-19 01:15:46,20.7,-105.2,75.2,78,90,9.17,overcast clouds,0,0
423,423,Laredo,US,2020-04-19 01:15:48,27.51,-99.51,75.2,83,90,10.29,overcast clouds,0,0
430,430,Ternate,ID,2020-04-19 01:15:52,0.8,127.4,84.36,72,33,2.89,light rain,0,0
433,433,Mackay,AU,2020-04-19 01:15:24,-21.15,149.2,84.0,74,40,9.17,scattered clouds,0,0
437,437,Nalut,LY,2020-04-19 01:15:57,30.33,10.85,75.79,20,42,23.44,scattered clouds,0,0
441,441,Maues,BR,2020-04-19 01:15:59,-3.38,-57.72,75.36,95,89,1.36,light rain,0,0
442,442,Kalmunai,LK,2020-04-19 01:16:00,7.42,81.82,81.57,78,63,5.46,broken clouds,0,0
444,444,Umm Kaddadah,SD,2020-04-19 01:14:09,13.6,26.69,78.19,16,99,13.8,overcast clouds,0,0
445,445,Qui Nhon,VN,2020-04-19 01:13:46,13.77,109.23,78.75,82,64,5.41,broken clouds,0,0
451,451,Batangafo,CF,2020-04-19 01:16:06,7.3,18.28,78.57,59,68,5.5,broken clouds,0,0
452,452,Shahpur,IN,2020-04-19 01:16:06,16.7,76.83,80.58,41,46,3.04,scattered clouds,0,0
456,456,Jalali,IN,2020-04-19 01:16:08,27.87,78.27,77.2,33,62,5.21,broken clouds,0,0
459,459,Aquin,HT,2020-04-19 01:16:10,18.28,-73.4,80.28,77,9,1.1,light rain,0,0
462,462,Kiunga,PG,2020-04-19 01:16:12,-6.12,141.29,78.48,88,99,0.47,overcast clouds,0,0
468,468,Russell,US,2020-04-19 01:16:15,32.35,-85.2,75.2,63,1,4.47,clear sky,0,0
475,475,Neuquen,AR,2020-04-19 01:16:20,-38.95,-68.06,77.0,41,81,9.17,broken clouds,0,0
476,476,Harindanga,IN,2020-04-19 01:16:21,22.04,88.32,77.0,83,20,9.17,haze,0,0
482,482,Bosaso,SO,2020-04-19 01:16:24,11.28,49.18,82.9,74,58,4.83,broken clouds,0,0
483,483,Mangrol,IN,2020-04-19 01:16:25,21.12,70.12,79.11,68,19,10.8,few clouds,0,0
495,495,Bambanglipuro,ID,2020-04-19 01:16:32,-7.95,110.28,79.83,79,87,3.56,light rain,0,0
496,496,Banda Aceh,ID,2020-04-19 01:16:33,5.56,95.32,79.48,78,81,3.71,broken clouds,0,0
500,500,Basco,PH,2020-04-19 01:16:34,20.45,121.97,79.11,87,91,17.98,overcast clouds,0,0
507,507,Ailigandi,PA,2020-04-19 01:16:38,9.23,-78.02,79.05,80,89,8.97,overcast clouds,0,0
509,509,Soyo,AO,2020-04-19 01:16:39,-6.13,12.37,78.93,80,99,1.19,overcast clouds,0,0
510,510,Wanlaweyn,SO,2020-04-19 01:16:40,2.62,44.89,81.36,75,92,6.51,overcast clouds,0,0
513,513,Wanning,CN,2020-04-19 01:16:41,18.8,110.4,78.26,83,3,9.95,clear sky,0,0
515,515,Paita,PE,2020-04-19 01:16:42,-5.09,-81.11,75.9,68,4,11.45,clear sky,0,0
518,518,Wewak,PG,2020-04-19 01:16:44,-3.55,143.63,84.63,67,79,1.36,light rain,0,0
519,519,Ambunti,PG,2020-04-19 01:16:44,-4.24,142.84,85.73,70,82,0.36,broken clouds,0,0
520,520,Alice Springs,AU,2020-04-19 01:16:44,-23.7,133.88,77.0,29,13,8.05,few clouds,0,0
525,525,Puerto Carreno,CO,2020-04-19 01:16:47,6.19,-67.49,78.01,85,100,13.6,moderate rain,0,0
526,526,San Jose De Guanipa,VE,2020-04-19 01:16:47,8.89,-64.17,87.4,37,75,9.98,broken clouds,0,0
530,530,Namibe,AO,2020-04-19 01:16:50,-15.2,12.15,75.09,69,58,6.04,light rain,0,0
531,531,Humberto De Campos,BR,2020-04-19 01:16:50,-2.6,-43.46,77.36,86,100,2.68,overcast clouds,0,0
