City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
396,396,Ko Samui,TH,2020-04-19 19:08:07,9.54,99.94,84.25,74,5,12.33,clear sky,0,0
397,397,Sao Joao Da Barra,BR,2020-04-19 19:05:04,-21.64,-41.05,80.6,57,75,11.41,broken clouds,0,0
399,399,Namatanai,PG,2020-04-19 19:08:09,-3.67,152.43,82.06,72,54,2.48,broken clouds,0,0
403,403,Wattegama,LK,2020-04-19 19:08:11,6.8,81.48,78.8,100,97,2.24,overcast clouds,0,0
406,406,Rock Sound,BS,2020-04-19 19:08:13,24.9,-76.2,78.55,80,1,11.92,clear sky,0,0
407,407,Vilhena,BR,2020-04-19 19:08:13,-12.74,-60.15,79.83,60,89,2.1,light rain,0,0
409,409,Diffa,NE,2020-04-19 19:08:14,13.32,12.61,89.08,11,40,6.38,scattered clouds,0,0
410,410,Vanimo,PG,2020-04-19 19:04:51,-2.67,141.3,81.79,77,65,1.39,light rain,0,0
412,412,Hadejia,NG,2020-04-19 19:08:16,12.45,10.04,87.98,11,45,4.61,scattered clouds,0,0
413,413,Tecoanapa,MX,2020-04-19 19:08:18,16.52,-98.75,89.4,43,15,10.51,few clouds,0,0
414,414,Imbituba,BR,2020-04-19 19:06:26,-28.24,-48.67,77.0,53,20,9.17,few clouds,0,0
415,415,Camopi,GF,2020-04-19 19:08:19,3.17,-52.32,83.66,83,91,3.49,moderate rain,0,0
417,417,Sur,OM,2020-04-19 19:08:20,22.57,59.53,84.49,53,5,4.88,clear sky,0,0
429,429,Haputale,LK,2020-04-19 19:08:26,6.77,80.96,78.8,100,97,2.24,overcast clouds,0,0
438,438,Guanica,PR,2020-04-19 19:08:30,17.97,-66.91,87.01,58,0,8.01,clear sky,0,0
440,440,Santa,PH,2020-04-19 19:08:05,17.49,120.43,78.93,75,92,2.71,overcast clouds,0,0
